model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,1,0.0,5.444935413441584e-12,"6.535428792533718e-17,9.890594904653479e-17,3.567186000793838e-13,2.142285879344998e-11",0.0,0.0,58.79952573776245
seq2seq,2,0.0,1.2536392658979678e-10,"4.9483095381355785e-18,9.896619076394863e-13,5.787577945567004e-11,4.425902600475681e-10",0.0,0.0,69.95526838302612
seq2seq,3,0.0,1.2536392658979678e-10,"4.9483095381355785e-18,9.896619076394863e-13,5.787577945567004e-11,4.425902600475681e-10",0.0,0.0,80.46649265289307
seq2seq,4,0.0,1.0046689825978375e-12,"1.1041659789335863e-17,3.057297156189132e-17,7.801099778503596e-14,3.940623317974963e-12",0.0,0.0,91.74449825286865
seq2seq,5,0.0,7.83456350925316e-12,"9.168867125736049e-17,1.2966736240731696e-16,4.977626890063176e-13,3.084026999197266e-11",0.0,0.0,123.07105779647827
seq2seq,6,1.5721649484536082,0.09440058813482151,"0.1893736895298201,0.18821542979768657,6.476818151601651e-06,6.756393627812056e-06",0.0,1.6666666666666667,115.87805604934692
seq2seq,7,0.45118343195266275,0.006090134177128032,"0.02436053593178459,7.741286564089461e-10,2.4601040047451097e-12,1.3877804300412646e-13",0.0,0.5,126.0119240283966
seq2seq,8,1.472166381739993,0.2615583830834311,"0.6382088590934112,0.4080197358757076,4.918033947235861e-06,1.9330658482527955e-08",0.0,1.111111111111111,135.27164459228516
seq2seq,9,0.5554359744065841,0.06855575996244759,"0.27422303473466714,5.100722078718566e-09,1.3690157848701744e-11,7.110054234981683e-13",0.0,0.2599009900990099,146.65388774871826
seq2seq,10,1.911697286970982,0.32131353214792985,"0.7958276634770268,0.48942115553177196,5.289414997816599e-06,2.0167922783270786e-08",0.0,2.121212121212121,157.41194128990173
seq2seq,20,20.08839882466285,9.402787657467726,"13.188708677740312,10.575537997533798,8.261758035826674,5.585145918770126",0.0,21.795558608058606,210.5740258693695
seq2seq,30,23.601769098082993,14.498678503341402,"20.88026823468109,16.23717165478001,12.389185018912741,8.488089104991776",5.0,24.809261408526112,316.6013193130493
seq2seq,40,24.706566665025857,16.007116540774554,"22.100282647099686,18.009551299248187,13.822941455586735,10.09569076116361",5.0,26.120884970149678,439.72786808013916
seq2seq,50,25.369624967238174,16.577293760301888,"23.29930208802602,18.73793197076207,14.12829639413888,10.143644588280583",5.0,26.790282838076962,556.3488500118256
seq2seq,60,25.720860726511557,16.730173147028545,"23.668549651989785,18.882432226757686,14.188863974574447,10.180846734792267",5.0,27.06717261496674,674.319827079773
seq2seq,70,27.61092692042893,16.773775491307102,"24.250112112371266,18.86249469695441,13.917945606098536,10.064549549804203",5.0,29.991878627908047,768.3015248775482
seq2seq,80,25.910588179579925,16.525888828995623,"24.09165047673974,18.512951900245238,13.66441416610295,9.834538772894563",5.0,28.14506726933198,885.9352512359619
seq2seq,90,27.081629740316902,17.389637934897795,"24.74743089278347,19.814256541185856,14.62707958731949,10.36978471830237",5.0,28.99984810940694,991.67822098732
seq2seq,100,28.03986964069362,17.39386006585261,"24.710776066901182,19.806297616644386,14.64179093540639,10.416575644458478",5.0,30.193526979556395,1106.6781063079834
seq2seq,110,27.767079458847395,17.26932942288345,"24.591662987193395,19.515368328446463,14.546877799630337,10.423408576263615",5.0,30.402734438763858,1217.561157464981
seq2seq,120,28.25073333839942,17.356300985427488,"24.459794163316126,19.72011650149009,14.690959629349637,10.554333647554108",5.0,30.455764741794155,1319.9438693523407
seq2seq,130,28.166711973594445,17.394304647791426,"24.7356766783293,19.811919086608587,14.632147710871438,10.397475115356384",5.0,30.193526979556395,1442.2334909439087
seq2seq,140,27.21510313195249,17.39386006585261,"24.710776066901182,19.806297616644386,14.64179093540639,10.416575644458478",5.0,29.172342281901116,1563.425369501114
seq2seq,150,27.21510313195249,17.39386006585261,"24.710776066901182,19.806297616644386,14.64179093540639,10.416575644458478",5.0,29.172342281901116,1668.9495623111725
seq2seq,160,27.131081767147503,17.377392072655244,"24.847955686348875,19.820523367767358,14.561282266680516,10.279806969824227",5.0,28.91010451966335,1807.2951214313507
seq2seq,170,27.131081767147503,17.377392072655244,"24.847955686348875,19.820523367767358,14.561282266680516,10.279806969824227",5.0,28.91010451966335,1762.456181049347
seq2seq,180,28.25073333839942,17.368977811686506,"24.519640516502207,19.74400588599385,14.68464998040947,10.527614863840496",5.0,30.455764741794155,1753.225073814392
seq2seq,190,27.21510313195249,17.39386006585261,"24.710776066901182,19.806297616644386,14.64179093540639,10.416575644458478",5.0,29.172342281901116,1869.2198355197906
seq2seq,200,28.03986964069362,17.394158346447387,"24.74743089278347,19.814256541185856,14.62707958731949,10.387866364500734",5.0,30.193526979556395,1979.8541214466095
acg,1,37.364067559455606,8.559800935593255,"19.219989856190864,10.924614558588122,4.094012782990266,0.000586544603771992",0.0,39.482309357309354,58.568517208099365
acg,2,45.628140586790096,9.31023675260037,"16.63020853404353,12.640082098636896,7.969607204906429,0.0010491728146266783",0.0,49.626443001443,79.97009587287903
acg,3,47.66082927059233,14.435924944619565,"19.809736788499922,15.873833473696916,12.234986900295818,9.825142615985607",0.0,51.38206442680124,98.9624240398407
acg,4,49.155683006642256,12.46059054750699,"15.27435844784249,13.460140247987662,11.415935501279941,9.691927992917867",0.0,52.988449708186536,120.52638554573059
acg,5,44.497003167423514,1.2299062861333383,"2.2148824557990645,1.4428229153687786,0.8316381391870326,0.4302816341784777",0.0,46.893761672561936,140.07460594177246
acg,6,49.0821127039199,3.0909699348240594,"5.638397017704736,3.62198529629556,2.1197506116202844,0.983746813675657",0.0,51.48601136520412,165.44512224197388
acg,7,46.3974344646858,1.534025523803465,"2.781136638451564,1.7866238992693948,1.0329226921210428,0.5354188653718588",0.0,48.55750754990654,184.19183683395386
acg,8,46.19788794548533,2.6307727795289324,"5.270522388057243,3.503499045459314,1.7489423204289687,0.0001273641702040153",0.0,48.81719885994761,204.12243938446045
acg,9,47.02148123639839,2.965538987461247,"5.182785747336797,3.530176192049667,2.0784253580448273,1.070768652413698",0.0,48.92167646109222,224.9410696029663
acg,10,49.47162498679577,3.1419802503498624,"5.477528089885076,3.650747156248325,2.2249796691646986,1.2146660861013512",0.0,51.325095325080895,243.34112882614136
acg,20,50.42311267685895,24.600741596279896,"38.31762185247317,28.444300192095078,20.15168204660246,11.48936229394888",0.0,53.70362643286195,451.3576443195343
acg,30,49.888200059752286,25.333504712697508,"39.22694651963278,30.310497436591877,21.167147921434466,10.629426973130904",2.5,52.8215483168949,649.0911288261414
acg,40,46.97453656119013,24.644142062079027,"35.957914028338344,28.355190434230593,20.7775769238949,13.485886861852276",0.0,50.49822507774452,871.3048384189606
acg,50,44.70312530617651,24.853101189099615,"38.35812682361302,29.283076493276894,20.340563278508537,11.430638161000003",0.0,48.499128703540464,1061.4977629184723
acg,60,44.16800024776813,26.79700241301843,"42.12543628899286,31.45988630636745,21.287875037665746,12.314812019047668",0.0,47.05392959768855,1271.1573386192322
acg,70,43.97138530621404,23.171868752965185,"34.26146196219626,27.323599553540905,19.174436867884996,11.927976628238577",0.0,47.031360013009625,1479.3587028980255
acg,80,43.386822314349885,24.028983342982684,"36.449203701727455,28.05520250844062,19.69215756477471,11.91936959698797",0.0,46.237390496214026,1666.61567735672
acg,90,43.416961384396586,23.95242453872476,"36.20595624016522,27.944619758419236,19.68596942205047,11.9731527342641",0.0,46.28355266737619,1887.5834250450134
acg,100,43.16992379211329,23.72719288852605,"35.87488624180059,27.520442621714096,19.537916915375135,11.97552577521439",0.0,46.51055020687373,2093.0934920310974
acg,110,43.41873106825352,23.93781942836526,"36.16187372813282,27.92381357355166,19.683716966855577,11.981873444920984",0.0,46.29624063730101,2309.5342025756836
acg,120,43.08716016320393,23.641815955940306,"35.68973539240516,27.465024938077743,19.489700824469384,11.922802668808941",0.0,46.0590773376377,2522.976660490036
acg,130,43.29283950835389,24.104736487471378,"36.58464363708856,28.093898803331285,19.74844232734132,11.99196118212434",0.0,46.471065812126184,2694.9225976467133
acg,140,43.29283950835389,24.104736487471378,"36.58464363708856,28.093898803331285,19.74844232734132,11.99196118212434",0.0,46.471065812126184,3047.348410129547
acg,150,43.29283950835389,24.104736487471378,"36.58464363708856,28.093898803331285,19.74844232734132,11.99196118212434",0.0,46.471065812126184,3285.5302069187164
acg,160,43.29283950835389,24.104736487471378,"36.58464363708856,28.093898803331285,19.74844232734132,11.99196118212434",0.0,46.471065812126184,3560.455287218094
acg,170,43.41873106825352,23.93781942836526,"36.16187372813282,27.92381357355166,19.683716966855577,11.981873444920984",0.0,46.29624063730101,3696.8781559467316
acg,180,43.29283950835389,24.104736487471378,"36.58464363708856,28.093898803331285,19.74844232734132,11.99196118212434",0.0,46.471065812126184,2706.0793092250824
acg,190,43.29283950835389,24.104736487471378,"36.58464363708856,28.093898803331285,19.74844232734132,11.99196118212434",0.0,46.471065812126184,2850.486626148224
acg,200,43.29283950835389,24.104736487471378,"36.58464363708856,28.093898803331285,19.74844232734132,11.99196118212434",0.0,46.471065812126184,3007.6357052326202
hredqs,1,0.0,1.2536392658979678e-10,"4.9483095381355785e-18,9.896619076394863e-13,5.787577945567004e-11,4.425902600475681e-10",0.0,0.0,40.29470777511597
hredqs,2,0.0,1.2536392658979678e-10,"4.9483095381355785e-18,9.896619076394863e-13,5.787577945567004e-11,4.425902600475681e-10",0.0,0.0,54.281829595565796
hredqs,3,0.0,1.2536392658979678e-10,"4.9483095381355785e-18,9.896619076394863e-13,5.787577945567004e-11,4.425902600475681e-10",0.0,0.0,87.11996674537659
hredqs,4,0.0,1.2536392658979678e-10,"4.9483095381355785e-18,9.896619076394863e-13,5.787577945567004e-11,4.425902600475681e-10",0.0,0.0,58.58426213264465
hredqs,5,0.0,1.5560558103865585e-12,"1.8438357943385182e-17,3.9701872207780084e-17,1.1401748681437765e-13,6.110147614501706e-12",0.0,0.0,69.07993936538696
hredqs,6,0.0,7.83456350925316e-12,"9.168867125736049e-17,1.2966736240731696e-16,4.977626890063176e-13,3.084026999197266e-11",0.0,0.0,81.47706627845764
hredqs,7,0.0,7.83456350925316e-12,"9.168867125736049e-17,1.2966736240731696e-16,4.977626890063176e-13,3.084026999197266e-11",0.0,0.0,112.96023964881897
hredqs,8,0.8104382357600932,0.1286478269852163,"0.28406053429473005,0.2305158823614803,7.414105984566354e-06,7.477178670278065e-06",0.0,0.5263157894736842,89.91908979415894
hredqs,9,0.0,7.83456350925316e-12,"9.168867125736049e-17,1.2966736240731696e-16,4.977626890063176e-13,3.084026999197266e-11",0.0,0.0,97.14103555679321
hredqs,10,1.704193968788465,0.1659461616193609,"0.39076655470787663,0.2730044154390904,6.683339625528498e-06,6.992990851178366e-06",0.0,2.0055821371610842,128.0471580028534
hredqs,20,8.18235917096097,1.886023355308474,"3.0208113836690935,2.5327185706305113,1.9902433885515394,0.00032007838275142404",0.0,8.404761904761903,176.76689410209656
hredqs,30,23.378592722146596,11.294652188964138,"13.738238205979494,12.32717504053551,10.602502303897614,8.510693205443937",5.0,23.795890490583584,272.89846873283386
hredqs,40,25.84507816592002,10.954059400657746,"16.2597307590303,12.993050258578068,9.418740979364442,5.1447156056581695",2.5,26.968046035417142,317.871817111969
hredqs,50,33.42739386381036,17.203949940508785,"23.488242029215645,19.103091928703016,15.315924772103081,10.908541032013394",7.5,35.155135409340204,419.0767388343811
hredqs,60,33.531672642021334,17.178032353219887,"24.41696177885667,19.546461451372625,15.236528308428559,9.512177874221686",10.0,35.59620501206515,464.02510809898376
hredqs,70,30.57913245283662,15.457472261076862,"22.1315129646449,17.99370350129762,13.794527001338997,7.9101455770259275",7.5,32.67048037438399,558.6608533859253
hredqs,80,33.42298205797495,17.29393593020513,"24.625204566295032,19.734860682233922,15.29566527161437,9.5200132006772",7.5,35.802891441577664,621.3158032894135
hredqs,90,36.02521612433717,20.591098921454307,"27.867361347253212,23.08482508373605,18.464686354692667,12.947522900135292",10.0,38.35163983540221,694.2962493896484
hredqs,100,34.54316236143057,21.47229893658704,"30.578555276419955,24.189786464661363,18.514104731015784,12.606749274251069",10.0,36.1052976954674,772.5959527492523
hredqs,110,33.096656189306124,18.537672516276356,"27.03276468496783,21.140749136885663,16.20788435101606,9.769291892235874",7.5,34.94653616714064,822.1983177661896
hredqs,120,33.124830125648764,19.05457313432309,"28.351658956583535,21.999891810774756,16.235766466252784,9.630975303681277",7.5,34.86720245737215,911.800883769989
hredqs,130,33.124830125648764,19.05457313432309,"28.351658956583535,21.999891810774756,16.235766466252784,9.630975303681277",7.5,34.86720245737215,967.826343536377
hredqs,140,33.124830125648764,19.05457313432309,"28.351658956583535,21.999891810774756,16.235766466252784,9.630975303681277",7.5,34.86720245737215,1064.9769847393036
hredqs,150,33.124830125648764,19.05457313432309,"28.351658956583535,21.999891810774756,16.235766466252784,9.630975303681277",7.5,34.86720245737215,1117.5395555496216
hredqs,160,33.124830125648764,19.05457313432309,"28.351658956583535,21.999891810774756,16.235766466252784,9.630975303681277",7.5,34.86720245737215,1210.8399832248688
hredqs,170,33.0875261853742,19.067396999284515,"28.388860127504888,22.018018639493846,16.238278376468447,9.624430853670882",7.5,34.80141298368794,1267.1479198932648
hredqs,180,33.124830125648764,19.05457313432309,"28.351658956583535,21.999891810774756,16.235766466252784,9.630975303681277",7.5,34.86720245737215,1359.3507721424103
hredqs,190,33.124830125648764,19.05457313432309,"28.351658956583535,21.999891810774756,16.235766466252784,9.630975303681277",7.5,34.86720245737215,1436.5592181682587
hredqs,200,33.124830125648764,19.05457313432309,"28.351658956583535,21.999891810774756,16.235766466252784,9.630975303681277",7.5,34.86720245737215,1508.7346160411835
